,id,format,victory_status,book_moves,opening_name,winner,turns,white_id,white_rating,black_id,black_rating
9431,x7PZTvqe,Rapid,resign,4,Indian Game: Wade-Tartakower Defense,white,39,morallygray,1904,tironislux,1648
9432,9meL3k35,Rapid,resign,7,Sicilian Defense: Open #3,black,48,tironislux,1661,mroj,1619
9433,37WQymP1,Rapid,resign,4,Queen's Gambit Refused: Marshall Defense,white,41,dossig,1677,tironislux,1672
9434,7tghWvRh,Rapid,resign,3,Pirc Defense #5,white,79,tironislux,1661,andizzz,1632
9435,y0oAxyO5,Rapid,resign,7,Sicilian Defense: Open #3,black,32,obuveni_hadzija,1683,tironislux,1651
9436,eQypIfzP,Rapid,resign,8,Four Knights Game: Double Spanish,black,28,tironislux,1652,malamutt,2159
9437,97eS1JmG,Rapid,resign,2,English Opening: Anglo-Indian Defense,black,52,eagle442,1364,tironislux,1649
9438,fB0M012q,Rapid,resign,6,Scandinavian Defense: Main Line,black,48,tironislux,1653,zizonaz,1889
9439,OOZgdJQi,Rapid,resign,2,Sicilian Defense,white,65,lumiga,1674,tironislux,1657
9440,IvdgnOwN,Rapid,resign,4,Scandinavian Defense: Mieses-Kotroc Variation,black,84,tironislux,1664,ghanidiniho,1810
9441,yEp5OZ15,Classical,resign,10,Sicilian Defense: Scheveningen Variation,black,51,tironislux,1673,electric_max,1722
9442,ZadokJun,Bullet,resign,3,French Defense: Reti-Spielmann Attack,white,18,gavriel32,1625,mayshe19,1500
9444,pnUiYHYo,Rapid,resign,3,Englund Gambit Declined |  Reversed French,black,25,eric_s,1323,mikmikci,1441
9445,YMiyy1mZ,Blitz,mate,4,Gunderam Defense,black,78,eric_s,1500,rive,1496
9447,T5M34F4W,Blitz,mate,7,Ruy Lopez: Exchange Variation,white,61,f3manga,1066,awesomenessrichard,1174
9448,ebl2YlrJ,Rapid,mate,7,Four Knights Game: Italian Variation,white,21,m_a_r_c_u_s5973,1262,awesomenessrichard,1236
9449,OdJHMn02,Rapid,mate,6,Vienna Game: Stanley Variation |  Reversed Spanish,white,47,pine138,1460,awesomenessrichard,1279
9450,uGuoeGsc,Rapid,mate,11,Sicilian Defense: Najdorf Variation |  Amsterdam Variation,black,80,awesomenessrichard,1390,tsi,1346
9451,lqtIurpJ,Rapid,resign,4,Queen's Gambit Declined,black,88,ur-ru,1571,witnik,1784
9452,Rq5dDXtu,Rapid,resign,9,Pirc Defense: Classical Variation |  Quiet System,white,59,jgb-lobo,1806,ur-ru,1577
9453,ro6YV4Nk,Rapid,resign,10,Tarrasch Defense: Symmetrical Variation,black,35,ur-ru,1584,infested,1737
9454,2PAwnrXN,Rapid,resign,2,Mikenas Defense,black,43,ur-ru,1597,blitz33,1583
9455,DC1d5QWd,Rapid,resign,2,Polish Opening: Outflank Variation,white,37,zembelek,2081,ur-ru,1599
9456,rdWkYoUB,Rapid,outoftime,2,Englund Gambit,white,101,ur-ru,1592,mth90,1390
9457,DqQRZe8T,Rapid,resign,4,Pirc Defense,white,63,emphasis,1828,ur-ru,1598
9458,pyLvshFK,Rapid,outoftime,8,Pirc Defense: Classical Variation,draw,122,sikoku71,1648,ur-ru,1596
9459,rorqJ7ny,Rapid,resign,7,Slav Defense: Quiet Variation,black,78,ur-ru,1613,siavash1338,1520
9460,M0Wm8L5d,Rapid,resign,9,Pirc Defense: Classical Variation |  Schlechter Variation,black,56,anatolii76,1495,ur-ru,1603
9461,CTzcye1m,Rapid,mate,3,Old Indian Defense,white,73,ur-ru,1599,berovel,1274
9462,H2yp1ons,Rapid,draw,2,Pirc Defense #4,draw,111,mahshid,1875,ur-ru,1589
9463,Z0Yucvgu,Rapid,resign,2,Pirc Defense #4,white,45,gool1,1636,ur-ru,1601
9464,SS1yeeSs,Rapid,outoftime,1,Van't Kruijs Opening,black,72,alamsyahwk,1657,ur-ru,1584
9465,roobN3TP,Rapid,mate,5,Queen's Gambit Accepted: Saduleto Variation,white,17,ur-ru,1576,mladenz89,1373
9466,yAMXlSxM,Rapid,resign,3,Benoni Defense: Benoni Gambit Accepted,black,69,ur-ru,1593,xxxlucasxxx,1549
9467,cYrclVmM,Rapid,resign,3,Queen's Pawn Game: Mason Attack,black,82,ur-ru,1606,talomedina,1644
9468,rKKIW4PJ,Rapid,resign,8,Alekhine Defense: Modern Variation |  Larsen Variation,black,16,sakisan,1678,ur-ru,1586
9469,iHadiBiU,Rapid,resign,5,Alekhine Defense: Two Pawn Attack,white,93,atacante,1790,ur-ru,1594
9470,8NwsfbjO,Rapid,resign,4,Queen's Pawn Game: Steinitz Countergambit,black,54,ur-ru,1597,alexanderx,2007
9471,DS3xl3Q4,Rapid,resign,3,Queen's Pawn Game: Mason Attack,white,55,ur-ru,1581,wazabanja,1566
9472,OHwgelWu,Rapid,mate,4,Scandinavian Defense: Mieses-Kotroc Variation,white,57,hazeh,1495,venomindustries,1500
9475,hRiMojQM,Classical,mate,3,King's Pawn Game: Leonardis Variation,black,56,staccato_allegro,1289,mekaprofili,1442
9476,Y3fRuopv,Classical,mate,5,Italian Game,white,39,mekaprofili,1434,staccato_allegro,1500
9479,W12YyI4z,Classical,mate,1,Van Geet Opening,white,85,dogmang,1861,blauerturm,1797
9480,sonJbky4,Rapid,resign,13,French Defense: Classical Variation |  Steinitz Variation,white,31,dogmang,1824,vlad_imir,1805
9481,Km62hxe5,Rapid,mate,5,French Defense: Paulsen Variation,white,55,dogmang,1786,jaybird,1748
9482,U7I9Cba8,Classical,mate,1,Van Geet Opening,white,81,dogmang,1710,gerardsan15,1972
9483,FXGSmH7e,Rapid,resign,7,Bishop's Opening: Vienna Hybrid,white,67,dogmang,1650,marronnes,1695
9484,A75niRgn,Rapid,mate,5,Vienna Game: Stanley Variation,white,37,dogmang,1565,marronnes,1709
9485,N572gIDZ,Rapid,outoftime,5,Queen's Pawn Game: London System,black,46,magnus,1637,dogmang,1462
9486,tcLBn6hu,Rapid,mate,6,Russian Game: Modern Attack |  Symmetrical Variation #2,black,56,orlaine,1578,dogmang,1325
9487,aO2ifNjj,Rapid,resign,1,Amar Opening,black,68,dogmang,1326,taborluna,1480
9489,t6gagL5a,Blitz,mate,2,English Opening: Anglo-Indian Defense,black,16,dogmang,1363,frella,1740
9490,ictXlymz,Blitz,mate,6,Sicilian Defense: Franco-Sicilian Variation,white,75,bimi,1500,bb1359,1615
9509,dByHjHwL,Blitz,mate,3,Sicilian Defense: Smith-Morra Gambit #2,white,57,kings77,1710,redevening,1376
9510,zcogtzLw,Rapid,resign,7,Sicilian Defense: Open #3,white,55,maiden07,1708,aze2,1851
9511,nTUQdw6m,Blitz,resign,4,Sicilian Defense: Old Sicilian,black,53,catalanswanttovote,1245,maiden07,1336
9512,5zAP1SOI,Rapid,resign,5,French Defense: Exchange Variation,white,48,maiden07,1599,jusch,2051
9513,Iw4qlIiR,Rapid,mate,3,Sicilian Defense: Bowdler Attack,black,52,mtabbakh2014,1446,maiden07,1556
9514,HVOv7erB,Rapid,draw,3,Sicilian Defense: Bowdler Attack,draw,92,tiosaulo,1418,maiden07,1589
9515,qb4JUKki,Rapid,outoftime,5,Three Knights Opening,white,105,maiden07,1512,vemil66,1465
9516,jRJu2iO5,Rapid,mate,1,Van't Kruijs Opening,white,55,maiden07,1470,sekeling,1195
9517,BuvszjJ7,Classical,resign,4,Caro-Kann Defense: Accelerated Panov Attack |  Open Variation,white,38,brainstorm1994,1559,maiden07,1641
9518,PYhyYsAQ,Rapid,draw,8,Sicilian Defense: Godiva Variation,draw,41,gianiarch,1771,maiden07,1500
9519,hXRZCnVf,Rapid,mate,4,Philidor Defense #2,white,75,jaraujolima,1420,qwertygotousakorea,1483
9520,P8j1Sblw,Classical,mate,3,King's Pawn Game: Leonardis Variation,white,113,qwertygotousakorea,1421,jam0h101,1315
9521,rZDhnp9r,Classical,resign,3,King's Pawn Game: King's Head Opening #2,white,4,qwertygotousakorea,1240,qwertygotousakorea,1240
9522,2MaPQVeB,Rapid,resign,6,French Defense: Classical Variation,white,36,jonkuc,2078,brodski,1960
9523,xHR40apb,Rapid,resign,7,Sicilian Defense: Smith-Morra Gambit Deferred,black,36,brodski,1969,jonkuc,2023
9524,UTH6E5B6,Rapid,resign,6,French Defense: Winawer Variation,white,27,jonkuc,1936,brodski,1980
9525,RebUNQFN,Rapid,resign,3,Sicilian Defense: Bowdler Attack,black,27,terminator2,1757,jonkuc,1866
9526,E96MC3Cv,Rapid,resign,3,Indian Game: Tartakower Attack,black,37,welcome0001,1675,jonkuc,1500
9527,fSrN3H4V,Rapid,mate,4,Englund Gambit Complex: Hartlaub-Charlick Gambit,white,49,cookie11,1887,sk14,1500
9528,syd1IGLL,Rapid,mate,1,Hungarian Opening,black,16,davidc87,1371,digvijay,1575
9529,kCAaN0aX,Rapid,mate,4,Queen's Indian Accelerated,white,57,lusert,1314,davidc87,1398
9530,ZbQDBgz8,Rapid,mate,5,Van Geet Opening: Napoleon Attack,white,107,keshav_soni,1628,davidc87,1408
9531,UvX0bacP,Rapid,resign,8,Italian Game: Two Knights Defense #2,white,121,menok,1514,davidc87,1425
9532,i070jbuW,Rapid,mate,6,Italian Game: Schilling-Kostic Gambit,black,18,davidc87,1446,menok,1505
9533,sb16k5Xo,Rapid,resign,6,Semi-Slav Defense: Accelerated Move Order,black,90,chessonline128,1448,davidc87,1418
9534,Iw5DtRN0,Rapid,mate,3,Queen's Pawn Game #2,white,49,tosho,1377,davidc87,1451
9535,1GPTxeIY,Rapid,mate,4,Gunderam Defense,white,61,davidc87,1424,almirbiser,1396
9536,aA3KsGYR,Rapid,resign,4,Rat Defense: Small Center Defense,black,66,davidc87,1434,sigma36,1737
9537,ncuHKIQF,Rapid,resign,3,French Defense: Steinitz Attack,white,41,davidc87,1407,peterpan88,1500
9538,1olrd1FQ,Rapid,mate,6,Ruy Lopez: Berlin Defense #2,black,42,tonidamigo,1446,davidc87,1364
9539,N8BEsFIy,Rapid,resign,5,Center Game,black,21,davidc87,1398,tonidamigo,1436
9540,Hyp0AZpA,Rapid,mate,6,Three Knights Opening #2,white,33,orloff82,1418,davidc87,1443
9541,FWpWyRH4,Rapid,mate,4,Bishop's Opening: Berlin Defense,white,51,volodyakedr,1443,davidc87,1499
9542,v6GYT7EO,Rapid,mate,4,Queen's Gambit Refused: Austrian Defense,black,56,akssada,1288,davidc87,1470
9543,5fgvTyw9,Rapid,mate,5,Russian Game: Three Knights Game,white,37,davidc87,1431,akssada,1295
9544,gvaZQiqS,Rapid,resign,2,Mikenas Defense,white,35,davidc87,1358,seethruwurmholes,1367
9545,rLsvy8P2,Rapid,mate,5,Vienna Game: Stanley Variation,black,86,karim85,1289,davidc87,1260
9556,JyUeznff,Rapid,mate,4,Queen's Pawn Game: Chigorin Variation,black,34,davidc87,1279,paolomath,1716
9559,JidILpa0,Rapid,outoftime,5,Center Game,black,40,davidc87,1336,vinoth,1563
9560,xMxtUv98,Rapid,mate,3,King's Pawn Game: Mengarini's Opening,black,54,davidc87,1347,lasker50,1938
9561,jp1CCAiI,Rapid,outoftime,3,French Defense: Steinitz Attack,black,32,davidc87,1500,naderat65,1549
9572,JvaAXwsj,Classical,resign,1,Van't Kruijs Opening,black,60,braneee,1250,engcondor,1208
9573,bTl9McXe,Blitz,resign,6,Center Game: Normal Variation,black,12,engcondor,1213,lesnik1,1599
9574,Cvqy9r2Z,Rapid,resign,5,Scotch Game,white,15,dinumau,1626,engcondor,1217
9575,ybmyI41z,Classical,resign,8,Ruy Lopez: Berlin Defense |  Rio Gambit Accepted,white,17,zbakov,1700,engcondor,1220
9576,brRIdRzh,Rapid,resign,5,Scotch Game,white,87,rbfbr,1937,engcondor,1221
9577,5wbwJLj1,Blitz,resign,7,Italian Game: Two Knights Defense |  Modern Bishop's Opening,white,29,atz,1596,engcondor,1229
9578,nTMzwDzA,Rapid,resign,4,Scandinavian Defense: Mieses-Kotroc Variation,white,25,zamuradnisa,1508,engcondor,1237
9579,V8E1hVAZ,Rapid,resign,5,Italian Game,white,27,brancaleonenorcia,1393,engcondor,1251
9580,tLsTP8ca,Blitz,resign,3,Bishop's Opening,white,41,juanpa07,1512,engcondor,1261
9581,Jl9LoR40,Rapid,resign,3,King's Pawn Game: Wayward Queen Attack,black,33,engcondor,1266,mamontidla,1669
9582,BnNlw0f4,Blitz,outoftime,3,King's Pawn Game: Leonardis Variation,white,59,gallero2015,1426,engcondor,1282
9583,YPC0Txsk,Blitz,mate,3,Center Game #2,white,23,akao,1625,engcondor,1289
9584,GeoJoFs0,Rapid,mate,6,Ruy Lopez: Spanish Countergambit,white,17,ascarllsiul,1502,engcondor,1302
9585,ARXqvyOE,Rapid,mate,7,French Defense: Winawer Variation |  Advance Variation,black,46,engcondor,1330,masterkordkuy,1340
9586,eqQGtFvl,Blitz,resign,4,King's Pawn Game: Maroczy Defense,black,26,engcondor,1350,mavrincbor,1765
9587,CNaHFyod,Blitz,mate,3,King's Pawn Game: Leonardis Variation,black,76,mironi,1640,engcondor,1290
9588,4c4rhxXO,Classical,resign,3,King's Pawn Game: Wayward Queen Attack,white,87,piotr1967,1443,engcondor,1313
9589,OzJtdamz,Rapid,resign,4,Scandinavian Defense: Mieses-Kotroc Variation,white,89,bakkara,1847,engcondor,1287
9590,3VvXk4L1,Blitz,resign,4,Elephant Gambit,white,43,asskicker135,1636,engcondor,1298
9593,iSKk4ckr,Blitz,resign,3,King's Pawn Game: Leonardis Variation,white,29,guppless,1457,engcondor,1327
9594,5KMMpLTO,Classical,resign,1,Polish Opening,black,50,odnoselchanin,1289,engcondor,1275
9595,9DB1TnYy,Classical,mate,2,Caro-Kann Defense,white,39,engcondor,1189,razelanout,1410
